time,values
2622,-0.5722826016
2623,-0.5727508009
2624,-0.5732190002
2625,-0.5736785292
2626,-0.5741467285
2627,-0.5746149278
2628,-0.5750744567
2629,-0.575542656
2630,-0.5760108553
2631,-0.5764703842
2632,-0.5769385835
2633,-0.5774067828
2634,-0.5778663118
2635,-0.5783345111
2636,-0.5788027104
2637,-0.5792622393
2638,-0.5797304386
2639,-0.5801986379
2640,-0.5806581668
2641,-0.5811263661
2642,-0.5815945654
2643,-0.5820540944
2644,-0.5825222937
2645,-0.582990493
2646,-0.5834500219
2647,-0.5839182212
2648,-0.5843864205
2649,-0.5848459494
2650,-0.5853141487
2651,-0.585782348
2652,-0.586241877
2653,-0.5867100763
2654,-0.5871782756
2655,-0.5876378045
2656,-0.5881060038
2657,-0.5885655327
2658,-0.589033732
2659,-0.5895019313
2660,-0.5899614603
2661,-0.5904296596
2662,-0.5908978589
2663,-0.5913573878
2664,-0.5918255871
2665,-0.5922937864
2666,-0.5927533153
2667,-0.5932215146
2668,-0.5936897139
2669,-0.5941492429
2670,-0.5946174422
2671,-0.5950769711
2672,-0.5955451704
2673,-0.5960133697
2674,-0.5964728986
2675,-0.5969410979
2676,-0.5974092972
2677,-0.5978688262
2678,-0.5983370255
2679,-0.5988052248
2680,-0.5992647537
2681,-0.599732953
2682,-0.6002011523
2683,-0.6006606812
2684,-0.6011288805
2685,-0.6015970798
2686,-0.6020566088
2687,-0.6025248081
2688,-0.602984337
2689,-0.6034525363
2690,-0.6039207356
2691,-0.6043802645
2692,-0.6048484638
2693,-0.6053166631
2694,-0.6057761921
2695,-0.6062443914
2696,-0.6067125907
2697,-0.6071721196
2698,-0.6076403189
2699,-0.6081085182
2700,-0.6085680471
2701,-0.6090362464
2702,-0.6095044457
2703,-0.6099639747
2704,-0.610432174
2705,-0.6109003733
2706,-0.6113599022
2707,-0.6118281015
2708,-0.6122963008
2709,-0.6127558297
2710,-0.613224029
2711,-0.613683558
2712,-0.6141517573
2713,-0.6146199566
2714,-0.6150794855
2715,-0.6155476848
2716,-0.6160072137
2717,-0.616475413
2718,-0.616934942
2719,-0.6174031413
2720,-0.6178713406
2721,-0.6183308695
2722,-0.6187990688
2723,-0.6192585977
2724,-0.619726797
2725,-0.620186326
2726,-0.6206545253
2727,-0.6211227246
2728,-0.6215822535
2729,-0.6220504528
2730,-0.6225099817
2731,-0.622978181
2732,-0.6234463803
2733,-0.6239059093
2734,-0.6243741086
2735,-0.6248336375
2736,-0.6253018368
2737,-0.6257700361
2738,-0.6262295651
2739,-0.6266977643
2740,-0.6271659636
2741,-0.6276254926
2742,-0.6280936919
2743,-0.6285618912
2744,-0.6290214201
2745,-0.6294896194
2746,-0.6299578187
2747,-0.6304173477
2748,-0.6308855469
2749,-0.6313537462
2750,-0.6318219455
2751,-0.6322814745
